movie_id,collection_id
862,10194
15602,119050
11862,96871
710,645
21032,117693
9273,3167
8012,91698
9598,9435
9312,9818
10530,136214
11525,124935
10634,43563
755,10924
9102,122017
10874,256377
27793,91430
9737,14890
414,120794
5894,439053
8839,8819
8068,9649
1572,1570
13552,259398
9073,9328
9070,286162
1642,328073
11980,9068
10802,247294
10149,439053
9348,9887
3512,112399
50797,23170
76,123800
2292,182813
8467,96665
15789,410261
628,217704
11,10
63105,286948
527,300546
18220,48188
110,131
108,131
109,131
22586,144200
11395,53159
9059,115142
193,115570
3049,3167
9331,192492
9495,9436
888,351684
8587,94032
11596,8581
854,43072
36593,37139
11011,167985
1637,43064
8831,170452
11667,261203
75555,439409
8011,8050
2758,11716
9409,162028
306,85861
11310,150156
24257,252313
1634,9328
5503,134011
2019,412680
9255,52988
16097,159600
329,328
11231,8580
5550,5547
11236,462565
8850,105075
78,422837
9066,224478
771,9888
812,86027
280,528
268,120794
274,9743
10020,153010
10824,98580
25059,43058
11827,141086
8766,8917
19042,140910
954,87359
8840,169452
25087,36694
5801,158391
896,158391
8072,144146
20762,143766
11687,52888
9323,23026
532,529
10547,116661
77771,303969
627,424202
602,304378
10545,97456
9327,86028
12606,224478
10546,9436
9431,115142
10061,115838
238,230
11134,269098
38955,269098
19004,19163
10987,91361
62,4438
3529,47814
10331,261590
39448,242765
10680,10709
18660,87232
35115,181496
14821,90348
14136,12087
10869,12087
19186,216395
6878,43058
15944,294519
11224,55419
15947,271668
10948,100970
11229,355490
562,1570
10163,124935
11238,86027
88,86058
8491,118221
402,86336
25750,115225
11843,937
1103,115838
11298,174218
4480,39460
4481,39460
531,529
36555,153948
11455,33071
1891,10
85,84
679,8091
429,48317
1892,10
348,8091
766,1960
539,119674
525,112636
240,230
530,529
9277,330605
218,528
829,359005
765,1960
105,264
8009,8050
756,55427
11314,173344
89,84
8077,8091
41671,397842
27214,397842
52263,397842
33519,397842
16235,397842
11449,397842
41848,397842
8851,422193
229,218406
9529,98580
7340,257053
377,8581
794,10919
145,498
199,115570
9279,307637
17204,105629
11674,124916
1573,1570
152,151
174,151
172,151
154,151
157,151
168,151
364,120794
11967,9329
9086,9329
621,86083
9037,86083
8845,112399
578,2366
579,2366
17692,2366
4232,2602
34314,166379
9404,269098
14908,393564
11419,108693
10003,86224
11844,207952
6499,286162
9360,105995
816,1006
49478,174407
1811,259398
330,328
33660,331475
1639,43064
415,120794
17991,182923
607,86055
9387,43055
10603,126221
20737,97445
18519,9328
4961,10721
1669,192492
9437,142680
10351,135489
3597,3601
1281,103372
563,10522
9823,9818
8078,8091
42832,372479
9714,9888
4233,2602
714,645
9922,351886
32302,71458
9033,9068
11568,112636
11808,134011
617,33059
17644,350402
27472,221966
10216,9887
9771,97771
37410,378453
10674,87236
846,19387
3050,3169
944,945
1051,155474
1366,1575
10014,8581
10072,8581
