user_id,movie_id,rating
1,1371,2.5
1,1405,1.0
1,2105,4.0
1,2193,2.0
1,2294,2.0
2,62,3.0
2,110,4.0
2,144,3.0
2,150,5.0
2,153,4.0
2,161,3.0
2,165,3.0
2,168,3.0
2,185,3.0
2,222,5.0
2,223,1.0
2,225,3.0
2,235,3.0
2,248,3.0
2,253,4.0
2,261,4.0
2,265,5.0
2,266,5.0
2,273,4.0
2,296,4.0
2,314,4.0
2,319,1.0
2,339,3.0
2,364,3.0
2,377,3.0
2,405,2.0
2,454,4.0
2,468,4.0
2,480,4.0
2,497,3.0
2,500,4.0
2,508,4.0
2,509,4.0
2,527,4.0
2,539,3.0
2,550,3.0
2,551,5.0
2,552,3.0
2,585,5.0
2,586,3.0
2,587,3.0
2,590,5.0
2,592,5.0
2,593,3.0
2,616,3.0
2,661,4.0
3,110,4.0
3,247,3.5
3,267,3.0
3,296,4.5
3,318,5.0
3,377,2.5
3,527,3.0
3,592,3.0
3,593,3.0
3,595,2.0
3,778,4.0
3,866,3.0
3,1580,3.5
3,1884,4.0
3,2028,4.0
3,2762,3.5
3,2841,4.0
4,112,5.0
4,141,5.0
4,153,4.0
4,173,3.0
4,185,3.0
4,260,5.0
4,289,4.0
4,296,5.0
4,329,3.0
4,364,5.0
4,380,3.0
4,431,3.0
4,435,1.0
4,464,4.0
4,480,5.0
4,541,5.0
4,590,3.0
4,594,5.0
4,596,5.0
4,616,5.0
4,858,5.0
4,903,5.0
4,910,4.0
4,913,5.0
4,919,5.0
4,1073,5.0
4,1089,5.0
4,1213,5.0
4,1278,5.0
4,1282,5.0
4,1371,4.0
4,1374,4.0
4,1376,3.0
4,1377,3.0
4,1380,5.0
4,1396,5.0
4,1580,5.0
4,1918,2.0
4,1954,5.0
4,1968,5.0
4,1994,5.0
4,2000,5.0
4,2003,2.0
4,2005,5.0
4,2018,5.0
4,2020,4.0
4,2021,4.0
4,2033,4.0
4,2034,4.0
4,2046,5.0
4,2054,3.0
4,2064,5.0
4,2085,5.0
4,2086,5.0
4,2087,5.0
4,2091,5.0
4,2094,4.0
4,2100,5.0
4,2102,5.0
