movie_id,key_id
11164,7814
4561,158713
605,6150
12241,11181
24808,5202
167,14784
11360,3030
9440,2946
11121,570
38805,193017
14484,8508
39310,201820
10283,179422
8769,169638
9566,157904
10376,3799
27814,1010
18900,33722
13553,14765
11556,8045
10222,9748
1126,2065
1879,582
36915,6593
136,1326
3635,13097
10304,4862
16448,160515
61416,10183
34723,170466
2501,188955
27681,4803
29756,2546
19101,12663
2293,572
11704,4129
708,212
16,1382
9713,1361
840,2583
9799,159953
11447,2783
18183,2940
552,206977
57240,161155
1641,3800
14464,10084
598,983
11881,2486
10212,10349
10410,1474
4909,2052
1884,6187
21626,5919
10160,1299
10122,1007
26332,34117
16617,2041
28043,9706
9476,10466
29987,10938
49763,15162
11692,2964
47199,174548
41843,437
10229,10703
9816,4118
9257,2434
988,387
8765,282
2565,10685
12311,181240
26893,10183
12545,4344
5689,13130
404,2029
10670,1936
22543,15016
28288,246
33112,4344
10428,41249
299,700
9447,206052
6028,703
401,10776
11898,4129
983,1332
10731,13142
5550,12190
30348,188959
60760,155440
9800,740
42232,6382
11313,170595
7227,4410
1411,12332
226,572
10098,209173
11936,5552
1857,234249
16378,11800
53157,9897
11901,9503
678,1635
576,6054
38874,11061
22627,727
28580,6662
10653,10226
14372,185477
29493,13008
11443,11254
10029,10776
21849,10232
994,9950
99318,41523
21193,2199
5923,478
10102,160246
78285,159601
957,1400
279,2276
10683,6281
53198,1388
10882,7430
19133,189411
9024,1808
13667,179430
16148,10183
25842,65
312,1635
990,567
1439,393
16003,380
1103,444
4970,11857
2760,154802
10564,5808
25508,155819
1429,2334
193,10988
42617,6731
576,10726
9077,18034
9654,110
266,886
66043,169635
568,10084
9473,15001
9318,215575
14114,898
363,164713
10537,578
5910,966
1162,207928
8388,11931
5052,2598
3035,14659
51179,197999
15762,14819
9542,11546
41944,572
18988,1326
29805,1336
10142,10787
5781,33740
34746,10183
55059,167768
500,233069
10398,2082
11429,378
4104,6996
29074,12377
16980,14604
41043,90
15592,4959
850,5609
11542,255
12531,1523
10642,178229
601,1872
26258,5739
10014,8508
11815,181304
778,13088
18274,6305
13685,10183
11284,225210
948,156075
9008,11208
13819,10183
9540,6373
10530,185343
11929,18047
3062,15142
31923,8201
9282,1419
36446,293
5689,566
10973,33696
96196,388
23730,6149
36536,2438
526,2637
832,10291
622,3099
2142,182069
29512,34079
13374,10671
1836,3731
43143,3124
41357,162804
10823,18072
12143,10809
753,549
2210,9799
21635,11322
1591,192519
